Altus Pharmaceuticals Inc,2006-01-26
Cagney,2006-01-26
Capital ABTB inc,2006-01-26
Federal Bank Ltd,2006-01-26
Store Electronic Systems SA,2006-01-26
XCounter AB,2006-01-26
Clean Air Power Ltd,2006-01-27
Dongbuka No 21 Ship Investment,2006-01-27
First Generation Holdings Corp,2006-01-27
Intercytex Group Plc,2006-01-27
Lotte Shopping Co Ltd,2006-01-27
European Investors Global,2006-01-29
Felissimo Corp,2006-01-30
H&E Equipment Services Inc,2006-01-30
Iwai Securities Co Ltd,2006-01-30
ND Software Co Ltd,2006-01-30
NeuroMedix Inc,2006-01-30
Sunil Hitech Engineers Ltd,2006-01-30
Regency Energy Partners LP,2006-01-30
IncrediMail Ltd,2006-01-30
Acadian Timber Income Fund,2006-01-31
CMP 2006 Resource LP,2006-01-31
Claimar Care Group PLC,2006-01-31
Drecom Co Ltd,2006-01-31
FortuNet Inc,2006-01-31
HouseFreedom Co Ltd,2006-01-31
Koppers Holdings Inc,2006-01-31
SGX Pharmaceuticals Inc,2006-01-31
Ternium SA,2006-01-31
Theolia SA,2006-01-31
Ground Financial Advisory,2006-02-01
Iomai Corp,2006-02-01
Mirae Asset Securities Co Ltd,2006-02-01
Morgan Korea Ltd,2006-02-01
1000Mercis SA,2006-02-01
S-Pool Inc,2006-02-01
Thomas Weisel Partners Group,2006-02-01
Valera Pharmaceuticals Inc,2006-02-01
Vital Resources Corp,2006-02-01
Zeus Co Ltd,2006-02-01
Alto Energy International Ltd,2006-02-02
Cardica Inc,2006-02-02
Digital Music Group Inc,2006-02-02
HealthSpring Inc,2006-02-02
Jazz Air Income Fund,2006-02-02
Reysas Tasimacilik ve Lojistik,2006-02-02
Terrain Minerals Ltd,2006-02-02
Smart Modular Technologies,2006-02-02
Bodisen Biotech Inc,2006-02-03
Energy Transfer Equity LP,2006-02-03
Entertainment Network(India),2006-02-03
Gujarat State Petronet Ltd,2006-02-03
Medigus Ltd,2006-02-03
Public Co Ltd,2006-02-03
Cia de Saneamento de Minas,2006-02-06
Komstar-OTS,2006-02-06
Jagran Prakashan Ltd,2006-02-06
Japan Hotel and Resort Inc,2006-02-06
Pure Energy Services Ltd,2006-02-06
Resource Capital Corp,2006-02-06
Toridoll Corp,2006-02-06
Vivax SA,2006-02-06
Crocs Inc,2006-02-07
E-Seikatsu Co Ltd,2006-02-07
Fandango Inc,2006-02-07
Inox Leisure Ltd,2006-02-07
Maruchiyo Yamaokaya Corp,2006-02-07
Trader Media East Ltd,2006-02-07
Addax Petroleum Corp,2006-02-08
Applied Co Ltd,2006-02-08
Cheng Lie Navigation Co Ltd,2006-02-08
EXCO Resources Inc,2006-02-08
Emailvision SA,2006-02-08
Kusuri No Aoki Co Ltd,2006-02-08
MicroFuze International PLC,2006-02-08
Modern Beauty Salon Holdings,2006-02-08
Morton's Restaurant Group Inc,2006-02-08
NightHawk Radiology Hldg Inc,2006-02-08
NTELOS Holdings Corp,2006-02-08
Sakuma Exports Ltd,2006-02-08
Sunflex Tech Co Ltd,2006-02-08
Acorda Therapeutics Inc,2006-02-09
Allbanc Split Corp,2006-02-09
AmCOMP Inc,2006-02-09
Yorkey Optical International,2006-02-09
Interlude Capital Corp,2006-02-09
Magellan Midstream Hldg LP,2006-02-09
Makoto Construction Co Ltd,2006-02-09
Optos PLC,2006-02-09
Pacific Net Co Ltd,2006-02-09
QinetiQ Group PLC,2006-02-09
Tai-Saw Technology Co Ltd,2006-02-09
Topco Technologies Corp,2006-02-09
UL Systems Inc,2006-02-09
Elitel SpA,2006-02-10
Frogster Interactive Pictures,2006-02-10
Indo Tech Transformers Ltd,2006-02-10
Nardina Resources PLC,2006-02-10
primion Technology AG,2006-02-10
Solomon Gold PLC,2006-02-10
Marazzi Group SpA,2006-02-12
Aizawa Securities Co Ltd,2006-02-13
China Essence Group Ltd,2006-02-13
GVK Power & Infrastructure Ltd,2006-02-13
Hali Capital Corp,2006-02-13
Morgans Hotel Group Co,2006-02-13
Pegasus Sewing Machine MFG,2006-02-13
Rossi Residencial SA,2006-02-13
Sadbhav Engineering Ltd,2006-02-13
STAR Pharmaceutical Ltd,2006-02-13
Aresa A/S,2006-02-14
Canada Dom Res 2006 LP,2006-02-14
Agritech Capital Inc,2006-02-14
Excapsa Software Inc,2006-02-14
Red Hill Iron Ltd,2006-02-14
Shonai Bank Ltd,2006-02-14
Yamashita Medical Instruments,2006-02-14
AdEPT Telecom PLC,2006-02-15
Brompton Advantage Tracker Fnd,2006-02-15
Canadian Financial-Linked Div,2006-02-15
Global Logistics Acq Corp,2006-02-15
MG Dividend & Income Fund,2006-02-15
Mobile Streams PLC,2006-02-15
NKMKh,2006-02-15
VDM Group Ltd,2006-02-15
Acuity Diversified Total,2006-02-16
Austral Waste Group Ltd,2006-02-16
Gafisa Participacoes SA,2006-02-16
KleenAir Systems International,2006-02-16
Payout Performers Income Fund,2006-02-16
Azuma Shipping Co Ltd,2006-02-17
Bird Construction Income Fund,2006-02-17
Front Street FT 2006-1 LP,2006-02-17
IAF Group PLC,2006-02-17
Parfum d'Image,2006-02-17
Rasa Corp,2006-02-17
VinaLand Ltd,2006-02-17
Al Salam Bank Bahrain BSC,2006-02-19
Bank of Kochi Ltd,2006-02-20
E-Ton Solar Tech Co Ltd,2006-02-20
Econergy Intl PLC,2006-02-20
Holloway Capital Corp,2006-02-20
QST International Corp,2006-02-20
Top REIT Inc,2006-02-20
Canadian Management Income Tr,2006-02-21
Mountain Capital Inc,2006-02-21
Polatechno Co Ltd,2006-02-21
Royal Resources Ltd,2006-02-21
Ceramic Fuel Cells Ltd,2006-02-22
Create Corp,2006-02-22
KappAhl AB,2006-02-22
Liquidity Services Inc,2006-02-22
Luzhou Bio-chem Technology Ltd,2006-02-22
Pantera Drilling Income Trust,2006-02-22
CMA Logistics Co Ltd,2006-02-22
Atlas Estates Ltd,2006-02-23
BlackRock Long-term Muni,2006-02-23
City Steel PCL,2006-02-23
Company SA,2006-02-23
GAP,2006-02-23
Kingdom Hotel Investments,2006-02-23
NCE Diversified FT 06 LP,2006-02-23
Polnord SA,2006-02-23
Rockhaven Resources Ltd,2006-02-23
AGS Energy2006-1 LP,2006-02-23
Work Group PLC,2006-02-23
Biosino Bio-Technology & Scien,2006-02-24
Creststreet 2006 LP,2006-02-24
Kobe Securities Co Ltd,2006-02-24
Nine Dragons Paper(Hldg)Ltd,2006-02-24
Oil Sands Sector Fund,2006-02-24
Amwal Invest Co PLC,2006-02-26
AGI Therapeutics PLC,2006-02-27
Astral Mining Corp,2006-02-27
Foxlink Image Tech Co Ltd,2006-02-27
Gitanjali Gems Ltd,2006-02-27
Grubb & Ellis Realty Advisors,2006-02-27
HPVC Inc,2006-02-27
Inotera Memories Inc,2006-02-27
Mahindra & Mahindra Financial,2006-02-27
Metax Engineering Corp Ltd,2006-02-27
Phynova Group PLC,2006-02-27
Pratibha Industries Ltd,2006-02-27
Tak Technology Co Ltd,2006-02-27
Xinjiang Tianye Water Saving,2006-02-27
B.L.Kashyap & Sons Ltd,2006-02-28
Blumont Man Alt Yield Fund,2006-02-28
Equal Weight Plus Fund,2006-02-28
Golden Oasis Exploration Corp,2006-02-28
Ks Frozen Foods Co Ltd,2006-02-28
MRF 2006 Resource LP,2006-02-28
Media Global Links Co Ltd,2006-02-28
Stone 2006 FT LP,2006-02-28
Genesis Technology Inc,2006-03-01
ITC Networks Corp,2006-03-01
LACPEF,2006-03-01
Premium Exploration Inc,2006-03-01
Puma Brandenburg Ltd,2006-03-01
SMR Technologies Bhd,2006-03-01
Sinosoft Technology PLC,2006-03-01
Tarsis Capital Corp,2006-03-01
Arthro Kinetics PLC,2006-03-02
Canadian Energy Services LP,2006-03-02
ESI Ent Sys Inc,2006-03-02
Oracle Healthcare Acq Corp,2006-03-02
Shirai Electronics Industrial,2006-03-02
Betex Group PLC,2006-03-03
Birchpoint Capital Inc,2006-03-03
Condor Resources Inc,2006-03-03
Creed Office Investment Corp,2006-03-03
NetServices Plc,2006-03-03
Ruchi Soya Industries Ltd,2006-03-03
Visa Steel Ltd,2006-03-04
BSP Inc,2006-03-06
Cinemaison 3D Inc,2006-03-06
Gallantt Metal Ltd,2006-03-06
Hikaku.com Corp,2006-03-06
KimCor Diamonds PLC,2006-03-06
Malu Paper Mills Ltd,2006-03-06
Nitco Tiles Ltd,2006-03-06
Gruppa Razgulyay,2006-03-06
WDB Co Ltd,2006-03-06
Central Petroleum Ltd,2006-03-07
Cohort,2006-03-07
Rohit Ferro-Tech Ltd,2006-03-07
Scott Wilson Group PLC,2006-03-07
Totvs SA,2006-03-07
Usher Agro Ltd,2006-03-07
Extol MSC Berhad,2006-03-07
Alexza Pharmaceuticals Inc,2006-03-08
Eagle Test Systems Inc,2006-03-08
Good Harbor Partners Acq Corp,2006-03-08
Lady Drug Store Co Ltd,2006-03-08
The Core Business,2006-03-08
Gold Frost PLC,2006-03-09
BLife Investment Corp,2006-03-09
Ming Hing Holdings Ltd,2006-03-09
Nippo Electric Co Ltd,2006-03-09
Resolve Business Outsourcing,2006-03-09
Rightmove.co.uk,2006-03-09
Shivalik Global Ltd,2006-03-09
Tempstaff Co Ltd,2006-03-09
Ovum PLC,2006-03-10
Salcomp Oy,2006-03-10
TAM SA,2006-03-10
Ithmaar Bank BSC,2006-03-12
Ahlstrom Paper Group Oy,2006-03-13
China Milk Product Grp Ltd,2006-03-13
Golden Eagle Retail Group Ltd,2006-03-13
Macquarie Korea Infrastructure,2006-03-13
Vinare,2006-03-13
Alpen Co Ltd,2006-03-14
Canada Cartage Div Income Fund,2006-03-14
Communications DVR Inc,2006-03-14
HFA Holdings Ltd,2006-03-14
MK Capital Management Corp,2006-03-14
Platinum Diversified Mining,2006-03-14
Tamweel PJSC,2006-03-14
TTM Resources Inc,2006-03-14
TransDigm Group Inc,2006-03-14
Vanguard Technologies Inc,2006-03-14
Acquicor Technology Inc,2006-03-15
Amur Minerals Corporation,2006-03-15
Copernican World Banks,2006-03-15
Atrium Co Ltd,2006-03-16
MTI Wireless Edge,2006-03-16
Block Watne AS,2006-03-16
China Natl Bldg Material Co,2006-03-16
Cumminscorp Ltd,2006-03-16
Deans Knight Income & Growth,2006-03-16
ETI Tech Corp Bhd,2006-03-16
Faircourt Split Trust,2006-03-16
Echo Healthcare Acquisition,2006-03-17
Invocas Group PLC,2006-03-17
New Media Lottery Services Ltd,2006-03-17
International Nickel Ventures,2006-03-17
Speymill Deutsche Immobilien,2006-03-17
Toyo Tanso Co Ltd,2006-03-17
Zuckerman PR/Advertising,2006-03-17
NMI Security PLC,2006-03-20
Planet Group Inc,2006-03-20
Servocell Group,2006-03-20
Solar Explosives Ltd,2006-03-20
Cortona Resources Ltd,2006-03-21
Geothermal Resources Ltd,2006-03-21
Jantar Resources Ltd,2006-03-21
Kalahari Minerals PLC,2006-03-21
Nan Ya Printed Circuit Board,2006-03-21
Nextest Systems Corp,2006-03-21
Noida Toll Bridge Co Ltd,2006-03-21
Pactolus Hungarian Property,2006-03-21
Sandvine Corp,2006-03-21
Zueblin Immobiliere France SA,2006-03-21
Aurora Energy Resources Inc,2006-03-22
Finders Resources Ltd,2006-03-22
HSBC Infrastructure Co Ltd,2006-03-22
Hub Co Ltd,2006-03-22
Man Industries(India)Ltd,2006-03-22
North American Ins Leaders,2006-03-22
ODIM ASA,2006-03-22
Psolve Alternatives PCC Ltd,2006-03-22
Stonefire Energy Corp,2006-03-22
Zublin Immobilieri,2006-03-22
Allco Commercial REIT,2006-03-23
Banco Macro Bansud SA,2006-03-23
Adhunik Metaliks Ltd,2006-03-23
Clayton Holdings Inc,2006-03-23
JTEC Corp,2006-03-23
Crombie REIT,2006-03-23
Ecomic Co Ltd,2006-03-23
Eastern European Property Ltd,2006-03-23
Evolis SA,2006-03-23
Global Traffic Network Inc,2006-03-23
Norquay Capital Ltd,2006-03-23
Partners Group Holding AG,2006-03-23
Richfield International Ltd,2006-03-23
Scorpio East Holdings Ltd,2006-03-23
Syntopix Group PLC,2006-03-23
Tim Hortons Inc,2006-03-23
Uttam Sugar Mills Ltd,2006-03-23
Alexandria Minerals Corp,2006-03-24
Ansaldo STS,2006-03-24
Aurora Russia Ltd,2006-03-24
Co-Prosperity Holdings Ltd,2006-03-24
Chalice Gold Mines Ltd,2006-03-24
ecotel communication AG,2006-03-24
Encounter Resources Ltd,2006-03-24
Hunan Nonferrous Metals Corp,2006-03-24
LitComp PLC,2006-03-24
Fonciere Paris France SA,2006-03-24
Toro Energy Ltd,2006-03-24
Venteco PLC,2006-03-24
McDowell & Co Ltd,2006-03-24
Ascii Solutions Inc,2006-03-27
Aikang Co Ltd,2006-03-27
Ascott Residence Trust,2006-03-27
Dhampur Sugar Mills Ltd,2006-03-27
Elite Advanced Laser Corp,2006-03-27
Gant Co AB,2006-03-27
Golf Do Co Ltd,2006-03-27
Millet Innovation SA,2006-03-27
Morson Group Ltd,2006-03-27
SCOSS Capital Corp,2006-03-27
Western & Oriental PLC,2006-03-27
Y&O Venture Corp,2006-03-27
Amboise Investissement SCA,2006-03-28
Blue Chip Financial Solutions,2006-03-28
CeGeREAL SA,2006-03-28
Cap-Link Ventures Ltd,2006-03-28
First Trust Strategic,2006-03-28
Hindustan Construction Co Ltd,2006-03-28
MVS Capital Corp,2006-03-28
Northbridge Industrial Svcs,2006-03-28
Playtech PLC,2006-03-28
Raccoon Co Ltd,2006-03-28
Vendome Capital Corp,2006-03-28
Bulgarian Land Development Plc,2006-03-29
CashBox PLC,2006-03-29
Charlemagne Capital Limited,2006-03-29
China GrenTech Corp Ltd,2006-03-29
Eden Energy Ltd,2006-03-29
Melchior Japan Investment Tr,2006-03-29
Optimus SA,2006-03-29
Refresh Group Ltd,2006-03-29
SeaBird Exploration Ltd,2006-03-29
Tower REIT,2006-03-29
ASMC,2006-03-30
Allco Commercial REIT,2006-03-30
Come and Stay SA,2006-03-30
Goldenport Holdings,2006-03-30
Himax Technologies Inc,2006-03-30
Prodware,2006-03-30
Patrizia Immobilien AG,2006-03-30
Peachtree Holdings Inc,2006-03-30
Pebble Creek Mining Ltd,2006-03-30
Visdynamics Holdings Berhad,2006-03-30
JK Paper Ltd,2006-03-30
Cluster Technology Co Ltd,2006-03-31
Equatorial Energia Holdings,2006-03-31
Global Uranium Corp,2006-03-31
Mavrix Explore 2006 - I FT LP,2006-03-31
Maxwell Bus Commun-Magazines,2006-03-31
Nippon Game Card Corp,2006-03-31
Sunshine Holdings Ltd,2006-03-31
Supremex Income Fund,2006-03-31
Zenith Industries Corp,2006-03-31
Kewal Kiran Clothing Ltd,2006-04-01
Bulgarian American Credit Bank,2006-04-03
Eurobank Ppty RE Invest Co,2006-04-03
Jadi Imaging Holdings Bhd,2006-04-03
Kamdhenu Ispat Ltd,2006-04-03
Long Harbour Capital Corp,2006-04-03
Ludorum PLC,2006-04-03
Sun East Group Ltd,2006-04-03
2waytraffic NV,2006-04-03
DU,2006-04-04
Renta Corp Real Estate SA,2006-04-04
Visicu Inc,2006-04-04
Advance Info Mktg Bhd,2006-04-05
Bio-Gate AG,2006-04-05
Castle Brands Inc,2006-04-05
Electra Gruppen AB,2006-04-05
General Finance Corp,2006-04-05
Goodman Global Inc,2006-04-05
Ingenious Media Active Capital,2006-04-05
PA Resources Berhad,2006-04-05
Pantheon Resources PLC,2006-04-05
TH Plantations Bhd,2006-04-05
SAF AG,2006-04-05
Trinity Capital PLC,2006-04-05
Viewcompany Co Ltd,2006-04-05
Discovery Air Inc,2006-04-06
Guinness Peat Group PLC,2006-04-06
MAGIX AG,2006-04-06
Prodware SA,2006-04-06
Sealy Corp,2006-04-06
West Mountain Capital Corp,2006-04-06
Alloy Resources Ltd,2006-04-06
ActivEX Ltd,2006-04-07
Aditya Birla Minerals Ltd,2006-04-07
BigAir Group Ltd,2006-04-07
Dyno Nobel Ltd,2006-04-07
Gold Pak Co Ltd,2006-04-07
HDM Corp,2006-04-07
IXEurope PLC,2006-04-07
Ktk Inc,2006-04-07
Legrand SA,2006-04-07
ModeLabs Group SA,2006-04-07
Omega Navigation Entrp Inc,2006-04-07
Renovo Group PLC,2006-04-07
R Systems International Ltd,2006-04-07
Tantia Constructions Ltd,2006-04-07
Rolta India Ltd,2006-04-07
Saudi Research & Marketing,2006-04-08
Wacker Chemie AG,2006-04-09
Airocom Technology Bhd,2006-04-10
Actron Technology Corp,2006-04-10
Emkay Share & Stock Brokers,2006-04-10
Godawari Power & Ispat Ltd,2006-04-10
North Coast SA,2006-04-10
Singapore Windsor Holdings Ltd,2006-04-10
Sun TV Ltd,2006-04-10
UMS-Neiken Group Bhd,2006-04-10
Aldgate Capital PLC,2006-04-11
Icade SA,2006-04-11
Image Information Inc,2006-04-11
Nepro Japan Co Ltd,2006-04-11
Qol Co Ltd,2006-04-11
Silvor Foxx Capital Corp,2006-04-11
System Location Co Ltd,2006-04-11
Targacept Inc,2006-04-11
Rakon Ltd,2006-04-11
Carador Income Fund PLC,2006-04-12
Cipla Ltd,2006-04-12
Entelos Inc,2006-04-12
FIM Corporate Finance Oy,2006-04-12
FIM Group Corp,2006-04-12
Genebiotech Co Ltd,2006-04-12
Kenya Electricity Generating,2006-04-12
Norrep Perf 2006 F-T LP,2006-04-12
Townnews-sha Co Ltd,2006-04-12
Vanda Pharmaceuticals Inc,2006-04-12
Vestel White Goods,2006-04-12
Albedo Ltd,2006-04-13
Alconix Corp,2006-04-13
All Star Minerals PLC,2006-04-13
Delegat's Group Ltd,2006-04-13
Enervest Enrg & Oil Sands,2006-04-13
Lamarthe SA,2006-04-13
Mission Marketing Group PLC,2006-04-13
Press Index SA,2006-04-13
Sawhill Capital Ltd,2006-04-13
Gulf Cement Co PSC,2006-04-16
Alberta Focused Income Fund,2006-04-17
Fabchem China Ltd,2006-04-17
ADTEC Engineering Co Ltd,2006-04-18
Benthanh Water Supply JSC,2006-04-18
Global Svcs Partners Acq Corp,2006-04-18
Honyaku Center Inc,2006-04-18
Oilinvest International NV,2006-04-18
PixArt Imaging Inc,2006-04-18
System D Inc,2006-04-18
Warrior Energy Services Corp,2006-04-18
LGR Resources Ltd,2006-04-19
Production Enhancement Grp Inc,2006-04-19
Rift Oil PLC,2006-04-19
Selcuk Ecza Deposu Ticaret ve,2006-04-19
Arcoa SA,2006-04-20
Cap-XX Ltd,2006-04-20
Camco International Ltd,2006-04-20
Complete Production Svcs Inc,2006-04-20
Deutsche Land PLC,2006-04-20
Fall River Resources Ltd,2006-04-20
frontierAlt Energy 2006 FT LP,2006-04-20
Glamis Resources Ltd,2006-04-20
Horizonte Minerals PLC,2006-04-20
InterMet Resources Ltd,2006-04-20
Omrix Biopharmaceuticals Inc,2006-04-20
Shanghai Prime Mach Co Ltd,2006-04-20
Burst Media Corp,2006-04-21
EEMS Italia SpA,2006-04-21
Hirakawa Hewtech Corp,2006-04-21
Lansdowne Oil & Gas PLC,2006-04-21
Pryme Oil & Gas Ltd,2006-04-21
Renewable Energy Corp ASA,2006-04-21
UraMin Inc,2006-04-21
Dalian Port(PDA)Co Ltd,2006-04-22
Lokesh Machines Ltd,2006-04-22
Kotak Mahindra Bank Ltd,2006-04-23
Clarity Commerce Solutions PLC,2006-04-24
Reliance Petroleum Ltd,2006-04-24
Clough Global Opportunities,2006-04-25
Corel Corp,2006-04-25
Cross Shore Acquisition Corp,2006-04-25
Excel-Tech Ltd,2006-04-25
EM Resources Inc,2006-04-25
Global Income & Currency Fund,2006-04-25
Interim Capital Corp,2006-04-25
Verofarm,2006-04-25
Shanghai Century Acq Corp,2006-04-25
American Banknote SA,2006-04-26
American Mold Guard Inc,2006-04-26
Capo Resources Ltd,2006-04-26
Dresdner Factoring AG,2006-04-26
Entropy Co Ltd,2006-04-26
Oxford Catalysts Group PLC,2006-04-26
Sing Holdings Ltd,2006-04-26
Wha Yu Industrial Co Ltd,2006-04-26
Baltic Oil Terminals PLC,2006-04-27
BW Offshore Limited,2006-04-27
BrasilAgro,2006-04-27
Bright World Precision Mach,2006-04-27
CPI International Inc,2006-04-27
CSU Cardsystem SA,2006-04-27
Castle Minerals Ltd,2006-04-27
International Goldfields Ltd,2006-04-27
Magnit,2006-04-27
Plethico Pharmaceuticals Ltd,2006-04-27
Polytec Holding AG,2006-04-27
Wistron Corp,2006-04-27
RAM Holdings Ltd,2006-04-27
Bioganix PLC,2006-04-28
Amazing Loans Ltd,2006-04-28
CC&L Global Financials Fund,2006-04-28
Eneabba Gas Ltd,2006-04-28
Labopharm Inc,2006-04-28
Mavrix Explore 2006 - I FT LP,2006-04-28
Risma SA,2006-04-28
Qwest Energy 2006 FT LP,2006-04-28
Sino-Environment Tech Grp Ltd,2006-04-28
Syrian National Insurance Co,2006-04-30
Aurora Buy-Write Income Trust,2006-05-01
Canyon Services Group Inc,2006-05-01
Vilkyskiu Pienine AB,2006-05-01
Chesswood Income Fund,2006-05-02
Incitive Ltd,2006-05-02
Skardin Industrial Corp,2006-05-02
Debenhams PLC,2006-05-03
Delek US Holdings Inc,2006-05-03
DynCorp International LLC,2006-05-03
KKR Private Equity Investors,2006-05-03
Parquesol SA,2006-05-03
Praemium Ltd,2006-05-03
Saudi Paper Manufacturing Co,2006-05-03
Velti PLC,2006-05-03
Water Capital Inc,2006-05-03
CAT Oil,2006-05-04
Jiutian Chemical Group Ltd,2006-05-04
Mission Biofuels Ltd,2006-05-04
Northstar Neuroscience Inc,2006-05-04
Biofutures International PLC,2006-05-05
Coca-Cola Icecek AS,2006-05-05
DHX Media Ltd,2006-05-05
Echo Resources Ltd,2006-05-05
Mastrad SA,2006-05-05
Midsouth Holdings Ltd,2006-05-05
Waverley Biotech Inc,2006-05-05
Asya Katilim Bankasi AS,2006-05-08
China Precision Technology Ltd,2006-05-08
DBA Telecom (Asia) Hldgs Ltd,2006-05-08
Geopacific Resources NL,2006-05-08
H&T Group PLC,2006-05-08
Interactive World PLC,2006-05-08
Linc Energy Ltd,2006-05-08
MBB Industries AG,2006-05-08
Parran Capital Inc,2006-05-08
Turbotec Products,2006-05-08
U308 Ltd,2006-05-08
Alliance Holdings GP LP,2006-05-09
Atelis Ltd,2006-05-09
Novacea Inc,2006-05-09
Roth & Rau AG,2006-05-09
Viscom Bildverarbeitung,2006-05-09
APK Cherkizovskiy,2006-05-10
Compass Diversified Trust,2006-05-10
GeoPark Holdings Ltd,2006-05-10
Inotera Memories Inc,2006-05-10
Inova Holding Ltd,2006-05-10
Natural Cool Holdings Ltd,2006-05-10
New Value AG,2006-05-10
NoemaLife SpA,2006-05-10
Notabene.net A/S,2006-05-10
RDS Acquisition Corp,2006-05-10
Air Berlin PLC & Co,2006-05-11
Dios Fastigheter AB,2006-05-11
Ascend Acquisition Corp,2006-05-11
AutoCanada Income Fund,2006-05-11
Basin Water Inc,2006-05-11
Acertec PLC,2006-05-11
Constellation Software Inc,2006-05-11
Digital Identification,2006-05-11
Zumtobel AG,2006-05-11
Global Masters Fund Ltd,2006-05-11
Harmony Electronics Corp,2006-05-11
Hengxin Technology Ltd,2006-05-11
ING RE Healthcare Fund,2006-05-11
Lorenzo International Ltd,2006-05-11
Lupatech SA,2006-05-11
BioMimetic Therapeutics Inc,2006-05-12
Condor Resources Ltd,2006-05-12
Saras SpA,2006-05-12
Silverjet PLC,2006-05-12
Zhejiang Shibao Co Ltd,2006-05-12
Zedex Minerals Ltd,2006-05-12
Champion REIT,2006-05-15
Feei Cherng Enterprise Co Ltd,2006-05-15
LCP Investment Corp,2006-05-15
Grifols SA,2006-05-15
Arkan Building Materials Co,2006-05-16
Brompton Top 50 Compund Gro Fd,2006-05-16
Cash Flow SA,2006-05-16
Cheviot Kirribilly Vineyard,2006-05-16
Infinity Bio-Energy Ltd,2006-05-16
Restore Medical Inc,2006-05-16
SCITI Total Return Trust,2006-05-16
Thai Optical Group PCL,2006-05-16
Bateman Litwin BV,2006-05-17
Burger King Holdings Inc,2006-05-17
A-Cap Resources Ltd,2006-05-17
European Islamic Invest Bk PLC,2006-05-17
Liquor Barn Income Fund,2006-05-17
My Net Fone Ltd,2006-05-17
Nice SpA,2006-05-17
Penson Worldwide Inc,2006-05-17
SNS Reaal NV,2006-05-17
Burleson Energy Ltd,2006-05-18
Darwin Professional,2006-05-18
El Sewedy Cables Co,2006-05-18
Grupo Famsa SA de CV,2006-05-18
Kenkou Corp,2006-05-18
Rana Sugars Ltd,2006-05-18
SEC Auto Sales & Services PCL,2006-05-18
Tianjin Port Dvlp Hldgs Ltd,2006-05-18
Claymore/Raymond James S-B1,2006-05-19
Debts.co.uk,2006-05-19
DHX Media Ltd,2006-05-19
Dongbuka No 30 Ship Investment,2006-05-19
Dongbuka No 27 Ship Investment,2006-05-19
Dongbuka No 28 Ship Investment,2006-05-19
Dongbuka No 29 Ship Investment,2006-05-19
GENEART AG,2006-05-19
Hutchison China MediTech Ltd,2006-05-19
Link Hi Holdings Ltd,2006-05-19
Lotte Tour Development Co Ltd,2006-05-19
Rathi Udyog Ltd,2006-05-19
SBI Futures Co Ltd,2006-05-19
St James's Energy Ltd,2006-05-19
Thinkware Systems Corp,2006-05-19
Mariana Resources Ltd,2006-05-19
Astroc Mediterraneo SA,2006-05-22
CELEOS SA,2006-05-22
JVM Co Ltd,2006-05-22
MEC Resources Ltd,2006-05-22
