.comfax,MessageClick
"Amplified.com, MultiPreviews, Inc.",CNP Technology
Amplify Therapeutics,"Cogentus Pharmaceuticals, Inc. "
"AnAerobics, Inc.","Ecovation, Inc. "
"Anaptys Biosciences, Inc.","AnaptysBio, Inc. "
Anatel Corporation,DataTrax
"Andora, Inc.","Living Proof, Inc. "
"Andover Advanced Technologies, Inc.","Andover Net, Inc. "
"AniGenics, Inc.","Pyxis Genomics, Inc. "
"Ann Arbor Stromal, Inc.","Aastrom Biosciences, Inc. "
Annatek Systems,Novell
"Anser Tech, Inc.","Nextreme Thermal Solutions, Inc. "
"Answerthink, Inc.","Hackett Group, Inc., The "
"Anti-Ox, Inc.","Therox Pharmaceuticals, Inc. "
"Antigenics Pharmaceuticals, Inc.","Antigenics, Inc. "
"AntiVirals, Inc.",AVI BioPharma Inc
"AnVil Informatics, Inc.","AnVil, Inc. "
"Anyday.com, Inc.",MyPalm.com
AnywhereYouGo.com,Wireless 3.0
"AOL Time Warner, Inc.","Time Warner, Inc. "
AOT Corp.,Applied Optoelectronics Technology
"Apera, Inc.","Ejasent, Inc.  "
Apex,"Applied Expert Systems, Inc. "
Apiary,"Gold Hill Computers, Inc. "
"Aplaud Technologies, Inc.","Navio Systems, Inc. "
"Apogee Networks, Inc.","Evident Software, Inc. "
AppCentrex,"Visitar, Inc. "
"Applied Analytical Industries, Inc.","aaiPharma, Inc. "
Applied Biomedical Corporation,"ABIOMED, Inc. "
Applied Electron Corp.,"Quantrad Sensor, Inc (QSI "
"Applied Epigenetics, Inc.","Exogen, Inc. "
Applied Fiber Optics,"WaveSplitter Technologies, Inc. "
Applied Genetics,MitoKor
Applied Inference,"Sightward, Inc. "
Applied Language Tech,"SpeechWorks International, Inc. "
Applied Logistics,"Fluensee, Inc. "
"Applied MetaComputing, Inc.",Avaki Corporation
Applied Parallel Technologies,"Torrent Systems, Inc. "
Applied Technology Genetics,"Avitech Diagnostics, Inc. "
"ApplyYourself, Inc.",AY Recruiting Solutions
"Apptran Software, Inc.","PostPath, Inc. "
"Aprilis, Inc.","DCE Aprilis, Inc.  "
"Apsylog, Inc.","United Software, Inc."
"Aptas, Inc.","Local Matters, Inc. "
"Aptus Genomics, Inc.","Aptus Pharmaceuticals, Inc. "
Arabesque Communications,"@Motion, Inc."
"Araksha, Inc.","Determina, Inc.  "
"Araxsys, Inc.","Confer Software, Inc. "
"Arbinet Holdings, Inc.","Arbinet-thexchange, Inc. "
Arbor Software Corp.,Hyperion Solutions Corporation
Arcadia Corporation,Starpath Corporation
Arcadia Trading Co.,"Georgetown Collection, Inc. "
"Arcaris, Inc.","Deltagen Proteomics, Inc. "
Architext Software,Excite Inc
"Archsys, Ltd.",Rtimage
"ArcSys, Inc.",Avant! Corporation
"Arctic, Inc./Frontec AMT","Viewlocity, Inc. "
"Areae, Inc.","Metaplace, Inc. "
Argus Healthcare,"Arcon HealthCare, Inc. "
Aria Biosystems Corporation,"ForteBio, Inc. "
Aria Communications,"Ascend Communications, Inc. "
Aris Software,Noetix Corporation
"Aristacom International, Inc.","Line4, Inc. "
"ARK Engineering, Inc","ARK Systems, Inc. "
Ark Research Corporation,CacheWare Inc.
Aros Corporation,"ReGen Biologics, Inc. "
ArQule Partners L.P.,"ArQule, Inc. "
"ArrayEx, Inc.","Incellico, Inc. "
"Arrhythmia Technologies, Inc.",CardioRhythm
"Arriso Networks, Inc.","Covaro Networks, Inc. "
"Arriva! Networks, Inc.",Sockeye Networks
Arrow Corporation,"Familymeds Group, Inc. "
"Arroyo Optics, Inc.","Kotura, Inc. "
ArtUFrame.com,"Art.com, Inc. "
Aruba Wireless Networks,"Aruba Networks, Inc. "
"Aryya Communications, Inc.","Cognio, Inc. "
"ASC Billing Solutions, Inc.","Sentori, Inc. "
"Ascent Pharmaceuticals, Inc.","Ascent Pediatrics, Inc. "
Ascentia Corporation,Envista Corporation
"Ascor, Inc.","Giga-tronics, Inc. "
"ASD Systems, Inc.",Ascendant Solutions
"Ash Medical Systems, Inc.","Ash Access Technology, Inc. "
Asher Technologies,"Wilcom, Inc. "
"Ashvattha Semiconductor, Inc.","Spectra Wireless, Inc. "
Asia Direct,"Direct Source Global Purchasing, Inc "
"ASIP, Inc.","Apogee Photonics, Inc. "
AskAround,MobileEngines
AskForFree.com,Kettera Software
ASKKRA Health Corporation,Redbrick Health Corporation
ASP Outfitters,AONet
Aspec Technology,Ingenuus Corporation
AssistGuide,AssistGuide Information Services Network
Assisto,"Pivia Software, Inc. "
Asterion,"Asterion.com, Inc. "
Aston Brooke Corporation,"FullTilt Solutions, Inc. "
Astra Communications,"SynOptics Communications, Inc. "
Asynchronous Digital Design,"Fulcrum Microsystems, Inc. "
"ATC-Onlane, Inc.","OpenLane, Inc. "
"ATCOM, Inc.",CAIS Software Solutions
"Athenagen, Inc.","CoMentis, Inc. "
"Atlantic Express, Inc.","Eos Airlines, Inc. "
"Atlantic Media, Inc.","LightWave Communications, Inc. "
ATM Direct,Acculynk
"ATM Products, Inc.","Avidia Systems, Inc. "
Atrieva Corporation,"Driveway, Inc. "
"AttachSTOR, Inc.",AttachSoft
Attensity Corporation,Attensity Group
Attenza Skywire,Skywire Software
"AttilaWeb.com, Inc.","Equative, Inc. "
"Atto Devices, Inc.","Pano Logic, Inc.  "
Atto Instruments,Atto Bioscience
"AuctionWatch.com, Inc.","Vendio Services, Inc. "
"Auctionworks, Inc.","Marketworks, Inc. "
"Audia Technology, Inc.",Apherma Corporation
Audio Explosion,MJuice
AudioFeast,"VoloMedia, Inc. "
AuditSolutions LLC,Lavante
Augment Systems,"Biometrics Security Technology, Inc.  "
AUNET Corporation,iAsiaWorks
Aura Networks,"METRObility Optical Solutions, Inc. "
AuraVision Corporation,SkyTune Corporation
Aureate Media Corporation,"Radiate, Inc. "
Aurora Technologies,Digirad Corporation
Aust & Taylor Medical Corporation,"Endius, Inc. "
Austin-Hayne Corporation,"SuccessFactors, Inc. "
Austin-James,"iPrint Systems, Inc. "
Authorware,"Macromedia, Inc. "
"Auto America, Inc.","Charter Equities, Inc. "
"AutoCount, Inc.","Novotec Systems, Inc. "
"AutoCyte, Inc.","TriPath Imaging, Inc. "
Automated Electronic Tech,Aetrium Incorporated
Automated Optical Inspection,"AOI Systems, Inc. "
"Automated Power Exchange, Inc.","APX, Inc. "
Automated Trading Systems,"LIMITrader Securities, Inc. "
Automatic Parellel Designs,Arithmatica
Automation Systems and Products,"Xycom Automation, Inc. "
"AV Alarm, Inc.","Monitronics International, Inc. "
Avance Technologies,"Visioneer Communications, Inc. "
"Avaz Networks, Inc.","Quartics, Inc. "
"Avenir Systems, Inc.","Innoprise Software, Inc. "
Aventa Biosciences Corp.,Ambit Biosciences Corp.
Avian Communications,ProQuent Systems
Avian Healthcare Corporation,"Triad Medical, Inc. "
"Avici Systems, Inc.","Soapstone Networks, Inc. "
"Avidence, Inc.","Appscio, Inc. "
"Avidia Research Institute, Inc.","Avidia, Inc. "
Avienda Technologies,"Silverpop Systems, Inc. "
"AviGenics, Inc.",Synageva Biopharma Corporation
Avista Advantage,Advantage IQ
"Avista Laboratories, Inc.","ReliOn, Inc. "
"AVMS, Inc.","Valor Healthcare, Inc. "
"AWS, Inc.","AWS Convergence Technologies, Inc. "
Axial Systems,"Newfire, Inc. "
"Axiamed, Inc.","Trans1, Inc. "
Axiom Computers Inc.,"Cydrome, Inc. "
Axiom Information Systems,"INVISIC Software, Inc. "
"Axon Labs, Inc.","Zeo, Inc. "
AZ Technology,Vivid Systems
Azimuth Networks,"Azimuth Systems, Inc. "
"Azureus, Inc.","Vuze, Inc. "
"B-Tree Verification Systems, Inc.","TestQuest, Inc. "
b2bPeople,"Fieldglass, Inc. "
"B2BWorks, Inc.",ClearGauge
B3TV,RespondTV
Bachman Information Systems,"Cayenne Software, Inc. "
"Bactex, Inc.","Provac, Inc. "
"BAM! Software, Inc.","Above All Software, Inc. "
BAMail Corporation,Scalix Corporation
Banderacom,"NetEffect, Inc. "
Bandwidth Communications,"Xtera Communications, Inc. "
"Bantek West, Inc.",Pendum LLC
Banyan Systems,"ePresence, Inc. "
BarterNet Corporation,"Intagio Group, Inc. "
BarterTrust.com,"Tradaq, Inc. "
"BAS Medical, Inc.","Corthera, Inc. "
"Battery Express, Inc.",iGo Corporation
BBB Biotechnologies,"Imagine Pharmaceuticals, Inc. "
"BC Newco, Inc.; Thunderstorm",Ten Rivers Technology
BCI Geonetics,"Integrated Water Technologies, Inc.  "
BD Technology,Lokring Corporation
"BDirect Capital, Inc.","BDC Financial, Inc.  "
"Beacon Networks, Inc.","Pelago Networks, Inc. "
"Beckmen Display, Inc.",Alien Technology Corporation
"Beeco, Inc.","siXis, Inc. "
"BeeLine Networks, Inc.",Andes Networks
"Behrman IC, Inc.","Groundswell, Inc. "
Belmont Computers,"Stellar Computer, Inc. "
Benchmark,"Telesat Communications, Inc. "
"Bergana Communications, Inc.","Bermai, Inc. "
Berkeley Integrated Technology,Volterra Semiconductors
Berkeley Software,"GeoWorks, Inc. "
Berkley Industries LLC,"Packaging Plus, LLC. "
Best Builders,"BuildLinks, Inc. "
"Beta Medical, Inc.","EnteroMedics, Inc. "
"Beyond Benefits, Inc.","ppoNEXT, Inc. "
"Beyond Genomics, Inc.","BG Medicine, Inc. "
"BidCom, Inc.","Citadon, Inc. "
Big Fish Comm.,"FrontBridge Technologies, Inc. "
"BigBook, Inc.","BigOnline, Inc. "
Binary Arts Corporation,"ThinkFun, Inc. "
Bindco Corporation,"Globalware Solutions, Inc. "
Bio Tech Associates,Wacon Corporation
Biocom Inc.,Betagen Corporation
Biofisica LLC,"Biofisica, Inc. "
BioForce Laboratories,"BioForce Nanosciences, Inc. "
Biogenix,Exact Science Corporation
BioGrowth,"Celtrix Pharmaceuticals, Inc. "
"Biolex, Inc.","Biolex Therapeutics, Inc. "
"Biomagnetic Technologies, Inc.",4-D Neuroimaging
"BioMedicines, Inc.","Intarcia Therapeutics, Inc. "
Biometrak Corporation,"Aspect Medical Systems, Inc. "
BioMimetic Pharmaceuticals,"BioMimetic Therapeutics,Inc."
BioNetrix Systems Corporation,BNX Systems Corporation
BioNeuronics Corporation,NeuroVista Corporation
Bionique Labs,"BioniqueTesting Laboratories, Inc.  "
"BioPassword, Inc.",AdmitOne Security
Bioplex Corporation,Crystalplex Corporation
"Bioplex Systems, Inc.","T2 Biosystems, Inc. "
"BioProfile, Inc.","Singulex, Inc. "
"BiopSolation Medical, Inc.","SenoRx, Inc. "
"BioQuant, Inc.","Pacific Biometrics, Inc. "
BioSampleX Pharmaceuticals,"Asterand, Inc. "
Biosource Genetics Corp,Large Scale Biology Corp.
Biospan Corporation,"Anergen, Inc. "
"BioStar Medical Products, Inc.",Thermo BioStar
Biotechnology Inc.,Elexis Corporation
"BioVascular, Inc.","Synovis Life Technologies, Inc. "
"BioWeb, Inc.","LabVelocity, Inc. "
"Bipolar Integrated Technology, Inc.",BITInc.
"BitDynamics, Inc.","Clip2.com, Inc. "
BitLocker,Calific Systems
"Bitshelter, Inc.","PhotoShelter, Inc "
BizAgile,Valdero Corporation
"Biztravel.com, Inc.",Rosenbluth Interactive
"Biztro, Inc.","Rivio, Inc. "
"BlastMedia, Inc.","AgentArts, Inc. "
BlazeNet,"Top Layer Networks, Inc. "
"BluBet, Inc.","dotblu, Inc. "
Blue Acquisition Corp.,"Pacira Pharmaceuticals, Inc. "
"Blue Falcon Networks, Inc.","Akimbo Systems, Inc. "
"Blue Leaf, Inc.","Picarro, Inc. "
"Blueline Online, Inc.","Cephren, Inc. "
"Bluesoft, Inc.","AeroScout, Inc. "
"BluZona, Inc.","Kineto Wireless, Inc.  "
"BNED, Inc.","Virtual Photonics, Inc. "
"Bolt Media, Inc.","Bolt, Inc. "
"Bolt,Beranek Adv",BBN Advanced Computer Partners LP
"Bolt,Beranek&Newm Int Switch",BBN Integ Switch Partn LP
"BondERA, Inc",Savantis Systems
BondNexus,BondDesk*Syndicate
"Bone, Muscle and Joint","BMJ Medical Management, Inc. "
Bookham Technology,"Bookham, Inc. "
"Boyle Leasing Technologies, Inc.","MicroFinancial, Inc. "
"Bpallen Technologies, LLC","Siderean Software, Inc. "
Brady Solutions,"Payerpath, Inc. "
BrainPlay.com,"KBkids.com, Inc "
Brand2Win & InternExperts,"Full Degree, Inc. "
"Bravanta.com, BravoGifts.com, Inc.","Bravanta, Inc. "
Bravida Corporation,"Bravara Communications, Inc. "
Breaker Technologies,SealedMedia
Breakwater Communications,"Nauticus Networks, Inc. "
Bridge Systems,Component Software
"Bright Light Technologies, Inc.","Brightmail, Inc. "
"Broadband Associates, Inc.",MSHOW.com
"Broadband Networks, Inc.","BNI Solutions, Inc. "
"BroadBand Technologies, Inc.","Pliant Systems, Inc. "
Broadband Transport Tech's,"Acelo Semiconductor, Inc. "
"BroadbandLiving, Inc.","DigiTerra Broadband, Inc. "
Broadbase Information System,"Broadbase Software, Inc. "
"Broadwave, Inc.","Tatara Systems, Inc. "
"Brock Rogers Surgical, Inc.","endoVia Medical, Inc."
"BrokerBot, Inc","Xigo, Inc. "
BSG Alliance Corporation,nGenera Corporation
Buckeye Acquisition Corporation,Buckeye Florida Corp.
"Building B, Inc.",Sezmi Corporation
Burst Wireless,"Monet Mobile Networks, Inc. "
"Butterfly.net, Inc.",Emergent Game Technologies
"Buzzage, Inc.","Jangl, Inc. "
"Buzznet, Inc.","Buzz Media, Inc. "
"BWM Medical, Inc.","Catheter Innovations, Inc. "
ByAir Corp,MTone Wireless Corporation
C.D. High Technology,"Cyclean, Inc. "
"C.S. Brod's, Inc.","Imaginarium, Inc. "
"C&C Vision, Inc.","Eyeonics, Inc. "
C&G Associates,"FDL Technologies, Inc. "
"CABC, Inc.",Ignite Technologies
"CacheFlow, Inc.","Blue Coat Systems, Inc. "
"Cadant, Inc.",CDX Corporation
Cadimation,"Unicad, Inc. "
Cadmus Computer Systems,Cadmus Corp
Cadtec Corporation,Sherpa Corporation
Cadus Pharmaceutical Corporation,Cadus Corporation
"Cahoots.com, Inc.","Informative, Inc. "
"Cairo, Inc.","Glimpse, Inc. "
"Calderome, Inc.","VeraCyte, Inc. "
Calfacior Corporation,Apsara Medical Corporation
"Calidad Foods, Inc.","Authentic Specialty Foods, Inc."
Caliper Technologies Corp,"Caliper Life Sciences, Inc. "
Call Processing Solutions,Enablx Corporation
CallNet Communications,"Telera, Inc. "
"CallVision, Inc.","Globys, Inc. "
Calypso Networks,Arroyo Video Solutions
"Cambio Networks, Inc.",Telynx
Cambridge BioScience,Cambridge BioTech Corporation
Cambridge Care/Cambridge Group,Care Centers Holding
"Camino Laboratories, Inc.",Integra NeuroSciences
Camis Systems,Intrac Systems
"Campus Convenience Stores, Ltd.","Campus C-Stores, Inc. "
"Cancer Recovery, Inc.",US Physicians
"CancerFacts.com, Inc.","NexCura, Inc. "
"Capital MT, LLC","Precyse Solutions, Inc. "
Captain Andy's Rivertowne,Animated Playhouses Corp.
"Car Advisory Network, Inc.",High Gear Media
Carcinex,"Intek Diagnostics, Inc. "
CardAssure,"Znq3, Inc. "
Cardia Catheter Company,"IntraTherapeutics, Inc. "
"Cardiac Assist Technologies, Inc.","CardiacAssist, Inc. "
Cardiac Mariners,"NovaRay, Inc. "
"CardioSense, Inc.","HemoSense, Inc. "
CardioSonix,"FlowCardia, Inc. "
"CardioVasc, Inc.","Nfocus Neuromedical, Inc. "
CardioVascular Concepts,"AneuRx, Inc."
Cardiovascular Outcomes Management,"Intecardia, Inc. "
"Cardmine, Inc.","Cardmine.com, Inc. "
CardStore.com,"Touchpoint, Inc. "
Care Team Management,"Integrated Health Services, Inc. "
Care-Mail.com,"Care2.com, Inc "
Carebid.com,"CBCA, Inc. "
Career Central Corporation,Cruel World
"Career Television Network, Inc",HR Management Services
Carefirst Corporation,Pinnacle Care Corporation
Cargo Technology,"Cold Pack System, Inc. "
"CarQuarters, Inc.",Sterling Autobody Centers
Carrius Technologies,"AppTrigger, Inc. "
CarsDirect.com,"Internet Brands, Inc. "
"CaseWare, Inc.",Continuus Software Corporation
"CashPile.com, Inc.","Merchandising Avenue, Inc. "
"Catalytic, Inc.","Agility Design Solutions, Inc. "
Catena Technologies,"Catena Networks, Inc. "
"Cbeyond Communications, Inc.","Cbeyond, Inc. "
CCSI of America,Republic Telcom Systems Corp.
CDA Inc,Computer Design & Applications
CDEX Corporation,Intellisance Corporation
"Cedro Group, Inc.","Fogdog, Inc. "
"CEH Holdings, Inc.","HomeAway, Inc. "
Celator Technologies,"Celator Pharmaceuticals, Inc. "
"Celeritas, Inc.","Celerica, Inc. "
"Celeste Optics, Inc.",Cheetah Optics
"Cell Analytics, Inc.","Allvivo, Inc. "
Cellco Advanced Bioreactors,"Cellco, Inc. "
"Cellgate, Inc.","Progen Pharmaceuticals, Inc. "
CellMux Communications Corp.,"Sentient Networks, Inc. "
"CellPro, Inc.",CPX Corporation
"Cellular Genomics, Inc.","CGI Pharmaceuticals, Inc. "
"Celosis, Inc.","newScale, Inc. "
"Cemara, Inc.","Incentus, Inc. "
CenCall Communications Corp,OneComm
Center For Health Promotion,"Free & Clear, Inc. "
Centeris Corporation,Likewise Software
Centerpost Corporation,"West Notifications Group, Inc. "
Centex Enterprises,CTX International
Centraal Corporation,RealNames Corporation
Centric CRM,Concursive Corporation
Centrigen Inc.,TaskPoint
CentsCity LLC,"Skill-Life, Inc. "
Ceramics Process Systems,CPS Technologies Corporation
"CERES Technologies, Inc.","NCE Pharmaceuticals, Inc. "
Cerisent Corporation,Mark Logic Corporation
Certive Corporation,Cloud9 Analytics Corporation
"Certus Biomedical, Inc.",Taris Biomedical
"CGtime, Inc.","Cariocas, Inc. "
Challenge Systems,"TI Industries, Inc. "
"Chameleon Solutions, Inc.","Camiant, Inc.  "
"Chancellor Academies, Inc",Chancellor Beacon Academies
"Change.TV, Inc.","Revver, Inc. "
"ChannelWave, Inc.","Commerce5, Inc. "
"ChannelWorks, Inc.","ChannelPoint, Inc. "
"Chaoticom, Inc.","Groove Mobile, Inc. "
"Chapter 2 E-services, Inc.","Avasta, Inc. "
Charged Droplet Systems,"Micropure, Inc. "
Charter Communications,Pointe Communications Corp.
Charter Learning,"Bridgepoint Education, Inc. "
"ChartWorks, Inc.","Visual Mining, Inc. "
"CheckSpace, Inc.",Fidesic Corporation
"ChemCodes, Inc.","Nuada Pharmaceuticals, Inc.  "
"Cheyenne Networks, Inc.","Silver Peak Systems, Inc. "
"Chingari, Inc.","Kandeo, Inc. "
"Chip-Hut, Inc.","inSilica, Inc. "
"Chip2Chip, Inc.","Velio Communications, Inc. "
"Chorus Systems, Inc.","Triumfant, Inc. "
"Chorus Works, Inc.","Intersect Software, Inc. "
Chroma,"Envision Technology, Inc. "
"Chroma Graphics, Inc.","Chroma Group, inc. "
Chromaline,Mirus Industries Corporation
"ChromiSys, Inc.","Calient Networks, Inc. "
"CIDCO, Inc.",CIDCO Communications
"Cierra Photonics, Inc",CP Santa Rosa Enterprises Corp.
CIM Vision International Corp.,Apriso Corporation
"Cimo, Inc.",Hotwire
"Ciphergen Biosystems, Inc.","Vermillion, Inc. "
Cirrus Recognition Systems,"Datasage, Inc."
"CKMP, Inc.","Synacor, Inc. "
Cl@rity Communications Inc.,Rivien
ClaimCard,WildCard Systems
"ClairVoyante Laboratories, Inc.","ClairVoyante, Inc. "
"Claremont Systems Group, Inc.",Convoy Corporation
"ClariStor, Inc. ","ONStor, Inc. "
Clarity LLC,"Clarity Technologies, Inc. "
Clear Communication Group,O2Wireless Solutions
"Clearaudit, Inc.",Clear Standards
ClearLinx Network Corporation,"ExteNet Systems, Inc. "
"ClearPane, Inc.","Revenio, Inc. "
